index,num
1256,080
1257,239
1258,188
1259,606
1260,021
1261,724
1262,471
1263,491
1264,669
1265,409
1266,884
1267,121
1268,445
1269,136
1270,004
1271,320
1272,068
1273,337
1274,281
1275,427
1276,869
1277,777
1278,465
1279,583
1280,822
1281,040
1282,204
1283,513
1284,990
1285,119
1286,051
1287,745
1288,030
1289,407
1290,162
1291,517
1292,725
1293,000
1294,558
1295,170
1296,893
1297,526
1298,174
1299,211
1300,590
1301,820
1302,189
1303,330
1304,308
1305,936
1306,563
1307,900
1308,733
1309,374
1310,842
1311,922
1312,764
1313,671
1314,653
1315,758
1316,953
1317,737
1318,308
1319,567
1320,452
1321,490
1322,784
1323,302
1324,855
1325,226
1326,673
1327,215
1328,376
1329,554
1330,076
1331,859
1332,978
1333,134
1334,236
1335,462
1336,206
1337,814
1338,837
1339,902
1340,597
1341,670
1342,543
1343,879
1344,342
1345,994
1346,765
1347,018
1348,821
1349,498
1350,632
1351,240
1352,562
1353,931
1354,590
1355,078
1356,998
1357,883
1358,166
1359,973
1360,109
1361,223
1362,286
1363,844
1364,843
1365,970
1366,112
1367,451
1368,480
1369,955
1370,497
1371,822
1372,383
1373,611
1374,005
1375,281
1376,114
1377,066
1378,200
1379,717
1380,983
1381,558
1382,601
1383,512
1384,525
1385,355
1386,489
1387,905
1388,632
1389,463
1390,782
1391,808
1392,921
1393,190
1394,593
1395,234
1396,621
1397,934
1398,812
1399,540
1400,522
1401,206
1402,374
1403,638
1404,804
1405,187
1406,374
1407,835
1408,945
1409,949
1410,391
1411,355
1412,697
1413,620
1414,670
1415,189
1416,266
1417,876
1418,335
1419,064
1420,499
1421,490
1422,945
1423,234
1424,353
1425,660
1426,754
1427,638
1428,699
1429,819
1430,295
1431,742
1432,400
1433,638
1434,299
1435,545
1436,196
1437,667
1438,582
1439,306
1440,684
1441,798
1442,094
1443,701
1444,065
1445,392
1446,588
1447,925
1448,189
1449,940
1450,133
1451,288
1452,301
1453,966
1454,616
1455,363
1456,662
1457,310
1458,609
1459,869
1460,377
1461,279
1462,799
1463,344
1464,082
1465,824
1466,095
1467,625
1468,497
1469,213
1470,815
1471,902
1472,227
1473,429
1474,784
1475,576
1476,055
1477,275
1478,137
1479,536
1480,809
1481,328
1482,423
1483,780
1484,026
1485,369
1486,526
1487,465
1488,968
1489,218
1490,807
1491,287
1492,997
1493,313
1494,800
1495,601
1496,742
1497,738
1498,754
1499,196
1500,453
1501,793
1502,556
1503,533
1504,058
1505,419
1506,063
1507,379
1508,928
1509,613
1510,917
1511,212
1512,887
1513,970
1514,707
1515,412
1516,603
1517,578
1518,266
1519,384
1520,680
1521,087
1522,776
1523,387
1524,319
1525,729
1526,963
1527,751
1528,948
1529,235
1530,686
1531,857
1532,786
1533,716
1534,084
1535,567
1536,414
1537,482
1538,507
1539,215
1540,350
1541,776
1542,043
1543,400
1544,190
1545,629
1546,841
1547,073
1548,942
1549,203
1550,560
1551,788
1552,530
1553,178
1554,589
1555,459
1556,250
1557,222
1558,781
1559,614
1560,973
1561,378
1562,453
1563,542
1564,241
1565,565
1566,182
1567,016
1568,204
1569,529
1570,827
1571,660
1572,597
1573,917
1574,835
1575,659
1576,392
1577,634
1578,363
1579,327
1580,042
1581,100
1582,920
1583,287
1584,217
1585,709
1586,885
1587,368
1588,769
1589,351
1590,097
1591,671
1592,402
1593,378
1594,377
1595,065
1596,095
1597,747
1598,395
1599,332
1600,146
1601,899
1602,885
1603,762
1604,382
1605,964
1606,312
1607,382
1608,318
1609,430
1610,922
1611,441
1612,261
1613,465
1614,861
1615,448
1616,347
1617,726
1618,720
1619,319
1620,424
1621,482
1622,943
1623,934
1624,977
1625,929
1626,168
1627,368
1628,607
1629,660
1630,626
1631,755
1632,486
1633,868
1634,077
1635,509
1636,980
1637,644
1638,451
1639,501
1640,787
1641,439
1642,060
1643,948
